Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
57,Yes,Travel_Frequently,Human Resources,30,5,Life Sciences,1000,2,Male,Research Scientist,3,Divorced,17684,7,Yes,23,1,2,29,4,3,24,6,7,9
37,Yes,Non-Travel,Human Resources,24,1,Technical Degree,1001,4,Female,Human Resources,4,Married,14179,2,No,20,3,1,25,0,1,6,5,4,16
25,Yes,Non-Travel,Research & Development,19,5,Technical Degree,1002,3,Female,Manager,1,Divorced,5697,3,Yes,17,3,2,11,6,2,21,10,3,8
57,No,Travel_Frequently,Human Resources,27,5,Technical Degree,1003,2,Female,Sales Executive,4,Divorced,7429,2,No,14,4,3,5,0,4,1,1,10,17
53,Yes,Non-Travel,Human Resources,1,3,Medical,1004,2,Female,Laboratory Technician,1,Divorced,12178,4,No,21,1,1,22,4,2,10,11,3,12
46,Yes,Travel_Rarely,Research & Development,28,3,Technical Degree,1005,3,Male,Sales Executive,1,Married,18485,6,No,23,1,3,9,6,4,20,0,6,5
31,Yes,Non-Travel,Sales,8,3,Technical Degree,1006,1,Male,Manager,4,Single,14060,4,Yes,14,1,1,25,5,3,25,3,12,16
58,Yes,Travel_Frequently,Human Resources,19,5,Technical Degree,1007,4,Male,Research Scientist,1,Married,13542,8,Yes,12,1,0,10,4,1,4,12,13,16
58,No,Travel_Rarely,Human Resources,6,2,Technical Degree,1008,4,Female,Laboratory Technician,3,Married,10261,8,Yes,14,4,3,4,3,3,20,1,9,2
56,Yes,Travel_Frequently,Human Resources,5,4,Other,1009,3,Female,Human Resources,4,Single,1428,6,No,18,1,2,16,4,4,25,9,11,14
35,No,Travel_Rarely,Research & Development,29,5,Technical Degree,1010,1,Male,Human Resources,4,Single,18256,0,Yes,19,1,1,14,5,2,25,13,11,5
58,No,Travel_Rarely,Human Resources,23,3,Technical Degree,1011,3,Male,Research Scientist,1,Married,16871,8,No,17,4,3,14,3,4,29,14,7,8
55,No,Travel_Rarely,Research & Development,24,4,Life Sciences,1012,1,Female,Manager,3,Single,19683,1,No,24,1,0,13,5,2,12,6,6,4
22,Yes,Non-Travel,Sales,4,2,Marketing,1013,2,Male,Manager,4,Married,19819,4,Yes,16,2,2,9,0,3,1,0,8,15
47,Yes,Travel_Frequently,Research & Development,10,1,Other,1014,4,Female,Research Scientist,3,Divorced,6895,1,Yes,20,4,2,22,5,3,29,8,15,4
25,No,Travel_Frequently,Human Resources,28,5,Technical Degree,1015,3,Female,Research Scientist,4,Divorced,4140,8,Yes,12,3,2,30,6,1,28,0,6,0
22,Yes,Travel_Rarely,Sales,9,4,Life Sciences,1016,2,Female,Sales Executive,1,Divorced,7636,0,No,15,2,3,40,2,1,13,6,4,14
45,No,Travel_Rarely,Research & Development,19,2,Marketing,1017,1,Female,Laboratory Technician,4,Divorced,17780,3,No,13,2,0,14,1,2,7,0,14,3
54,No,Travel_Rarely,Human Resources,7,4,Other,1018,3,Female,Manager,2,Divorced,17442,7,No,23,3,2,7,2,4,13,1,10,10
27,No,Travel_Rarely,Research & Development,7,1,Technical Degree,1019,3,Male,Sales Executive,2,Divorced,9663,2,Yes,21,2,3,18,6,2,10,14,9,17
52,Yes,Travel_Rarely,Sales,20,5,Marketing,1020,4,Male,Manager,1,Married,17586,6,Yes,15,4,0,21,3,2,9,8,7,8
31,Yes,Travel_Frequently,Research & Development,15,3,Technical Degree,1021,3,Female,Laboratory Technician,4,Single,8885,4,Yes,21,4,1,33,6,2,25,0,2,8
57,Yes,Travel_Frequently,Research & Development,9,5,Marketing,1022,4,Female,Manager,3,Divorced,13503,8,No,19,3,0,24,6,4,27,17,7,4
42,Yes,Non-Travel,Sales,30,2,Other,1023,2,Female,Sales Executive,1,Single,11300,7,Yes,13,4,2,37,5,4,25,8,3,9
40,No,Travel_Frequently,Human Resources,14,2,Life Sciences,1024,4,Female,Sales Executive,1,Single,17705,9,Yes,21,2,3,0,2,4,27,10,6,2
49,Yes,Travel_Rarely,Human Resources,14,2,Other,1025,1,Female,Laboratory Technician,4,Divorced,15135,1,No,19,4,2,40,4,3,2,15,2,3
37,No,Non-Travel,Sales,14,5,Marketing,1026,2,Male,Research Scientist,2,Married,12270,1,No,14,1,3,16,6,3,27,3,9,17
40,No,Non-Travel,Sales,1,3,Medical,1027,1,Male,Sales Executive,3,Married,1305,8,No,17,3,0,13,6,3,21,15,15,6
38,Yes,Travel_Rarely,Human Resources,11,3,Other,1028,4,Female,Laboratory Technician,3,Married,17346,6,No,22,1,3,9,0,1,0,18,3,8
35,No,Travel_Frequently,Human Resources,23,5,Life Sciences,1029,3,Female,Manager,1,Married,4586,6,No,15,3,0,22,2,3,13,7,1,12
43,No,Non-Travel,Research & Development,24,5,Other,1030,3,Male,Human Resources,2,Single,5395,9,Yes,24,3,0,2,1,4,28,6,15,16
50,No,Travel_Frequently,Research & Development,20,4,Life Sciences,1031,2,Female,Laboratory Technician,4,Married,17130,2,Yes,25,4,2,10,0,3,0,5,10,4
31,Yes,Non-Travel,Research & Development,6,5,Life Sciences,1032,3,Female,Laboratory Technician,3,Married,16651,9,Yes,23,4,0,19,1,1,3,16,14,12
40,No,Non-Travel,Human Resources,7,5,Medical,1033,1,Female,Manager,2,Married,12900,5,Yes,11,4,3,7,1,2,11,2,6,17
33,No,Travel_Frequently,Human Resources,4,3,Technical Degree,1034,2,Female,Research Scientist,1,Single,7142,6,No,21,1,3,21,6,1,6,5,14,2
39,Yes,Non-Travel,Human Resources,14,1,Technical Degree,1035,1,Female,Human Resources,3,Single,15519,4,No,18,1,3,27,6,1,26,14,11,13
33,No,Travel_Frequently,Research & Development,24,1,Other,1036,3,Female,Research Scientist,4,Divorced,3986,9,No,15,1,0,38,3,1,17,0,9,2
56,No,Travel_Frequently,Research & Development,29,5,Other,1037,2,Female,Laboratory Technician,4,Married,14736,1,No,11,4,2,7,6,3,30,4,11,2
46,Yes,Non-Travel,Human Resources,15,5,Other,1038,4,Female,Research Scientist,3,Single,14940,7,Yes,10,3,1,11,5,4,24,6,4,7
43,Yes,Travel_Rarely,Human Resources,28,1,Medical,1039,1,Male,Research Scientist,3,Single,10750,5,No,13,2,0,10,6,2,30,10,7,16
